angulo,ganho
0,10
1,10
2,10
3,10
4,10
5,10
6,9.99
7,9.96
8,9.85
9,9.80
10,9.7
11,9.6
12,9.5
13,9.4
14,9.2
15,9.4
16,9.4
17,9.40
18,9.25
19,9.10
20,8.95
21,8.80
22,8.65
23,8.50
24,8.35
25,8.20
26,8.05
27,7.95
28,7.80
29,7.65
30,7.50
31,7.25
32,7.05
33,6.90
34,6.75
35,6.60
36,6.45
37,6.30
38,6.15
39,6.0
40,5.85
41,5.70
42,5.55
43,5.30
44,5.15
45,5.0
46,4.5
47,4.0
48,3.5
49,3.0
50,2.5
51,2.0
52,1.5
53,1.0
54,0.5
55,0.0
56,-0.5
57,-1.0
58,-1.5
59,-2.0
60,-2.5
61,-2.93
62,-3.36
63,-3.79
64,-4.22
65,-4.65
66,-5.08
67,-5.51
68,-5.94
69,-6.38
70,-6.81
71,-7.24
72,-7.67
73,-8.10
74,-8.53
75,-9.0
76,-9.4
77,-9.8
78,-10.20
79,-10.60
80,-11.0
81,-11.4
82,-11.8
83,-12.20
84,-12.60
85,-13.0
86,-13.40
87,-13.80
88,-14.20
89,-14.60
90,-15.0
91,-15.75
92,-16.50
93,-17.25
94,-18.0
95,-18.75
96,-19.5
97,-20.25
98,-21.0
99,-21.75
100,-22.5
101,-21.75
102,-21.0
103,-20.25
104,-19.5
105,-18.75
106,-18.0
107,-17.25
108,-16.5
109,-15.75
110,-15.0
111,-14.8
112,-14.6
113,-14.4
114,-14.2
115,-14.0
116,-13.8
117,-13.6
118,-13.4
119,-13.2
120,-13.0
121,-12.8
122,-12.6
123,-12.4
124,-12.2
125,-12.0
126,-11.8
127,-11.6
128,-11.4
129,-11.2
130,-11.0
131,-10.8
132,-10.6
133,-10.4
134,-10.2
135,-10.0
136,-10.3
137,-10.6
138,-10.9
139,-11.2
140,-11.5
141,-11.8
142,-12.1
143,-12.4
144,-12.7
145,-13.0
146,-13.3
147,-13.6
148,-14.2
149,-14.6
150,-15
151,-14.5
152,-14.0
153,-13.5
154,-13.0
155,-12.5
156,-12.0
157,-11.5
158,-11.0
159,-10.5
160,-10.0
161,-9.5
162,-9.0
163,-8.5
164,-8.0
165,-7.5
166,-7.25
167,-7.0
168,-6.8
169,-6.6
170,-6.6
171,-6.5
172,-6.4
173,-6.2
174,-6.0
175,-5.9
176,-5.8
177,-5.6
178,-5.4
179,-5.2
180,-5
181,-5.2
182,-5.4
183,-5.6
184,-5.8
185,-5.9
186,-6.0
187,-6.2
188,-6.4
189,-6.5
190,-6.6
191,-6.6
192,-6.8
193,-7.0
194,-7.25
195,-7.5
196,-8.0
197,-8.5
198,-9.0
199,-9.5
200,-10.0
201,-10.5
202,-11.0
203,-11.5
204,-12.0
205,-12.5
206,-13.0
207,-13.5
208,-14.0
209,-14.5
210,-15.0
211,-14.6
212,-14.2
213,-13.6
214,-13.3
215,-13.0
216,-12.7
217,-12.4
218,-12.1
219,-11.8
220,-11.5
221,-11.2
222,-10.9
223,-10.6
224,-10.3
225,-10.0
226,-10.3
227,-10.6
228,-10.9
229,-11.2
230,-11.5
231,-11.8
232,-12.1
233,-12.4
234,-12.7
235,-13.0
236,-13.3
237,-13.6
238,-14.2
239,-14.6
240,-15.0
241,-15.1
242,-15.2
243,-15.3
244,-15.4
245,-15.5
246,-15.6
247,-15.7
248,-15.8
249,-15.9
250,-16.0
251,-16.65
252,-17.30
253,-17.95
254,-18.6
255,-19.25
256,-19.90
257,-20.55
258,-21.20
259,-21.85
260,-22.5
261,-21.75
262,-21.0
263,-20.25
264,-19.50
265,-18.75
266,-18.0
267,-17.25
268,-16.50
269,-15.75
270,-15.0
271,-14.6
272,-14.2
273,-13.8
274,-13.4
275,-13.0
276,-12.6
277,-12.2
278,-11.8
279,-11.4
280,-11.0
281,-10.6
282,-10.2
283,-9.8
284,-9.4
285,-9.0
286,-8.51
287,-8.08
288,-7.65
289,-7.22
290,-6.79
291,-6.36
292,-5.93
293,-5.51
294,-5.08
295,-4.65
296,-4.22
297,-3.79
298,-3.36
299,-2.93
300,-2.5
301,-2.0
302,-1.5
303,-1.0
304,-0.5
305,0.0
306,0.5
307,1.0
308,1.5
309,2.0
310,2.5
311,3.0
312,3.5
313,4.0
314,4.5
315,5.0
316,5.15
317,5.30
318,5.45
319,5.60
320,5.75
321,5.90
322,6.05
323,6.20
324,6.35
325,6.50
326,6.65
327,6.80
328,6.95
329,7.20
330,7.50
331,7.63
332,7.76
333,7.89
334,8.02
335,8.15
336,8.28
337,8.41
338,8.54
339,8.67
340,8.80
341,8.93
342,9.20
343,9.4
344,9.45
345,9.50
346,9.55
347,9.60
348,9.65
349,9.70
350,9.75
351,9.80
352,9.85
353,9.90
354,9.95
355,9.95
356,10.0
357,10.0
358,10.0
359,10.0
